index,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Count,Global_Sales
7512,2012.0,0.1,0.03,0.06,0.02,71.0,35.0,106.0,0.2
6172,2006.0,0.14,0.11,0.0,0.04,71.0,26.0,22.0,0.28
7208,2004.0,0.17,0.04,0.0,0.01,86.0,39.0,19.0,0.22
12499,2007.0,0.0,0.02,0.03,0.0,72.0,15.0,14.0,0.06
4863,2007.0,0.19,0.15,0.01,0.05,66.0,4.0,10.0,0.39
14651,2007.0,0.03,0.0,0.0,0.0,75.0,18.0,8.0,0.03
2947,2010.0,0.38,0.25,0.0,0.06,40.0,30.0,9.0,0.69
11134,2005.0,0.07,0.02,0.0,0.0,77.0,25.0,11.0,0.09
3108,2011.0,0.3,0.13,0.18,0.04,80.0,61.0,179.0,0.65
2355,2007.0,0.38,0.36,0.0,0.15,71.0,30.0,49.0,0.88
3694,2003.0,0.14,0.11,0.25,0.04,75.0,39.0,22.0,0.54
8790,2007.0,0.13,0.01,0.0,0.01,77.0,9.0,9.0,0.15
2118,2009.0,0.62,0.26,0.0,0.09,82.0,88.0,268.0,0.97
2207,2006.0,0.78,0.03,0.0,0.13,83.0,30.0,31.0,0.94
2705,2010.0,0.52,0.18,0.0,0.06,71.0,10.0,31.0,0.76
14295,2005.0,0.01,0.0,0.02,0.0,71.0,49.0,37.0,0.03
2137,2015.0,0.36,0.41,0.05,0.15,76.0,46.0,894.0,0.96
1273,2010.0,0.5,0.69,0.04,0.26,75.0,61.0,297.0,1.49
8434,2010.0,0.08,0.07,0.0,0.02,40.0,11.0,5.0,0.17
13978,2007.0,0.01,0.02,0.0,0.0,74.0,36.0,5.0,0.04
11788,2008.0,0.06,0.01,0.0,0.01,50.0,23.0,12.0,0.07
3596,2002.0,0.4,0.15,0.0,0.01,47.0,5.0,4.0,0.56
6814,2009.0,0.08,0.11,0.0,0.04,67.0,44.0,36.0,0.24
909,2001.0,1.03,0.75,0.03,0.09,90.0,45.0,80.0,1.9
10141,2011.0,0.08,0.02,0.0,0.01,75.0,11.0,6.0,0.11
6875,2011.0,0.07,0.13,0.0,0.03,63.0,35.0,12.0,0.24
4013,2011.0,0.26,0.15,0.05,0.04,55.0,57.0,31.0,0.49
4392,2014.0,0.19,0.18,0.0,0.07,78.0,46.0,32.0,0.44
8274,2003.0,0.13,0.04,0.0,0.01,69.0,22.0,7.0,0.17
13140,2008.0,0.01,0.04,0.0,0.01,78.0,12.0,11.0,0.05
7081,2005.0,0.2,0.01,0.0,0.02,73.0,27.0,13.0,0.23
2182,2011.0,0.36,0.43,0.0,0.16,73.0,42.0,34.0,0.95
2972,2003.0,0.62,0.04,0.0,0.02,89.0,22.0,24.0,0.68
3828,2009.0,0.08,0.29,0.0,0.16,68.0,23.0,14.0,0.52
15203,2009.0,0.0,0.0,0.02,0.0,78.0,9.0,12.0,0.02
4314,2011.0,0.4,0.03,0.0,0.03,69.0,27.0,24.0,0.45
4246,2002.0,0.22,0.18,0.0,0.06,80.0,37.0,29.0,0.46
7285,2002.0,0.11,0.08,0.0,0.03,69.0,24.0,12.0,0.22
7306,2004.0,0.11,0.08,0.0,0.03,63.0,17.0,7.0,0.21
12344,2006.0,0.04,0.0,0.02,0.0,76.0,44.0,4.0,0.06
2326,2012.0,0.17,0.62,0.0,0.1,77.0,47.0,58.0,0.89
